,feature,weight,std
0,q5,868.5086103234115,47.84574903250076
1,q24,224.61289494531397,17.8136248387817
2,q119,96.68795366321136,15.070403760059785
3,q20,74.45179691111326,7.09947975405523
4,q3,71.39553623482949,8.134136636295596
5,q7,66.75187411066403,7.632776568065948
6,q2,53.686534179601246,5.652557424236057
7,q22,50.48444016285589,6.12599705216797
8,q18,47.69962413257851,5.567590961347669
9,q1,47.38681448300169,7.129186330334916
10,q16,46.96669485606745,6.315811333916765
11,q15,45.654189236506866,4.672001796205703
12,q13,44.912488241057005,5.205348706545197
13,q30,41.18155799551425,5.287263852562223
14,q17,40.5833545736889,4.937950244676374
15,q32,40.439781540114176,5.906908893507599
16,q4,39.79578339679946,5.057458035866234
17,q21,39.56978398367737,4.686023739837291
18,q26,38.418216511536855,3.9838119624991095
19,q6,34.98188728030549,4.296967195475037
